"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"261","4A",665,22.76022035,"5L",24,803,22643,22178.35,23231,65
"262","4A",685,11.03688239,"5L",44,823,23888,23796,24175.05,56
"263","4A",689,11.75098672,"5L",48,827,24041,23849.9,24467.15,37.5
"264","4A",693,10.96984515,"5L",52,831,24179,23899.9,24707,30.5
"265","4A",697,9.266578832,"5L",56,835,24313,23937.95,24899.2,35.5
"266","4A",701,8.784194529,"5L",60,839,24450,24007,25101.35,33.5
"267","4A",705,8.125800484,"5L",64,843,24658.5,24099.95,25361.25,78.5
"268","4A",709,9.635907094,"5L",68,847,24880,24265.65,25635.05,36.5
"269","4A",713,10.62766154,"5L",72,851,25022,24348.45,25836.6,24.5
"270","4A",717,9.524819686,"5L",76,855,25131.5,24422.9,25988.05,25.5
"271","4A",721,9.721931842,"5L",80,859,25232.5,24534,26124,22
"272","4A",725,10.53496011,"5L",84,863,25342,24632.6,26228.25,28
"273","4A",729,11.28136798,"5L",88,867,25458.5,24704.95,26356.3,24
"274","4A",741,12.78061792,"6L",0,879,25807.5,24969.95,26628.4,29.5
"275","4A",745,16.51738672,"6L",4,883,25906,25109,26707.45,21
"276","4A",749,12.25651127,"6L",8,887,26014.5,25181.35,26801.25,30
"277","4A",753,10.50087024,"6L",12,891,26115,25273.7,26870.05,26.5
"278","4A",757,10.72164948,"6L",16,895,26227,25424.9,26937.3,23
"279","4A",761,14.53775582,"6L",20,899,26321.5,25521,27011,25
"280","4A",765,11.83407889,"6L",24,903,26450,25683.65,27076.25,33
"281","4A",769,13.42340379,"6L",28,907,26558,25792.5,27139.3,29.5
"282","4A",781,11.78027796,"6L",40,919,26871.5,26230.65,27356.05,24
"283","4A",785,11.13785558,"6L",44,923,26992.5,26413.7,27424.15,32
"284","4A",789,15.19939804,"6L",48,927,27117.5,26595.85,27481.1,37.5
"285","4A",793,22.09067283,"6L",52,931,27298,26913.9,27637,70.5
"286","4A",797,18.19277108,"6L",56,935,27497,27148.95,27833,41
"287","4A",801,25.04738695,"6L",60,939,27700.5,27343,28088.35,63
"288","4A",805,12.50705285,"6L",64,943,28001,27518.95,28762.3,57.5
"289","4A",809,10.815822,"6L",68,947,28186.5,27635.9,29183.05,44.5
"290","4A",813,8.606503853,"6L",72,951,28390.5,27722.9,29536.7,51
"291","4A",817,9.599027947,"6L",76,955,28593,27811,29836.15,51
"292","4A",821,10.93722831,"6L",80,959,28788.5,27891.8,30184.75,37.5
