"","ngroups","topic","taxa","beta"
"429",4,"3","Rubiaceae.undiff.",1.78256728383601e-74
"430",4,"3","Onagraceae",2.59344675263472e-19
"431",4,"3","Apocynum",3.581944376738e-57
"432",4,"3","Hedysarum",0.000118035318165794
"433",4,"3","Saxifraga.type",3.12552313836729e-05
"434",4,"3","Tsuga",9.37656941566766e-05
"435",4,"3","Polygonum.tenue.type",3.12552313855707e-05
"436",4,"3","Berberidaceae",3.12552313855707e-05
"437",4,"3","Zanthoxylum.type",3.12552313855696e-05
"438",4,"3","Malvaceae",2.12376064575544e-37
"439",4,"3","Avena.type",8.77982354237756e-38
"440",4,"3","Acer.undiff.",4.64242584146703e-53
"441",4,"3","cf..Oxalis",2.35327867385805e-30
"442",4,"3","Rosaceae.undiff.",1.28195133281795e-36
"443",4,"3","Clethra",5.93331582785342e-38
"444",4,"3","Magnolia",3.0892824204216e-53
"445",4,"3","cf..Weinmannia",1.87855800264144e-56
"446",4,"3","Gentiana.andrewsii.type",1.38479036226496e-05
"447",4,"3","Rhamnaceae.undiff.",5.07774455660167e-55
"448",4,"3","Juglans.nigra.type",1.30103717722565e-07
"449",4,"3","Shepherdia.canadensis",2.46951748126409e-16
"450",4,"3","Trifolium.repens.type",3.12552313855707e-05
"451",4,"3","Brassica",3.12552313855707e-05
"452",4,"3","Galium",9.22072881126304e-28
"453",4,"3","Euphorbia",3.86885149964018e-17
"454",4,"3","Solanum.rostratum",1.53833396232343e-17
"455",4,"3","Rutaceae.undiff.",8.09025717804139e-54
"456",4,"3","Cedrus",3.30369947718202e-53
"457",4,"3","Engelhardia.type",6.34230662960162e-38
"458",4,"3","Moraceae.undiff.",3.78808920706476e-60
"459",4,"3","Cistaceae",1.11920635524467e-44
"460",4,"4","Alnus.incana.type",0.0023477272057509
"461",4,"4","Cyrilla.racemiflora",1.20835994735973e-07
"462",4,"4","Fraxinus.undiff.",0.00525061987757482
"463",4,"4","Nyssa",6.15705049228768e-07
"464",4,"4","Asteroideae.undiff.",0.0137275366999616
"465",4,"4","Iva.frutescens.type",0.0112447660329729
"466",4,"4","Byrsonima",1.73582169479186e-08
"467",4,"4","Carya",0.013160366101517
"468",4,"4","Taxodium",6.68073993030645e-05
"469",4,"4","Xyris",0.000734587424775364
"470",4,"4","Amaranthaceae.undiff.",0.0189987858571726
"471",4,"4","Myrica",0.00096446544627205
"472",4,"4","Cupressaceae.undiff.",0.00891277609202974
"473",4,"4","Cyperaceae",0.0113313513777223
"474",4,"4","Ambrosia.type",0.0591728992956758
"475",4,"4","Pinus",0.0814820332776596
"476",4,"4","Quercus",0.722158501681123
"477",4,"4","Poaceae",0.0114470163576754
"478",4,"4","Acer.saccharum.type",0.00131793522554943
"479",4,"4","Ostrya.Carpinus",0.00416279312276248
"480",4,"4","Ulmus",0.0133314722346462
"481",4,"4","Vitis",0.000758351495912934
"482",4,"4","Rhexia.type",0.000146016822934897
"483",4,"4","Podocarpus",0.000134443360958912
"484",4,"4","Polygonum.polygamum.type",3.99620469296701e-05
"485",4,"4","Betula",0.000880141194388069
"486",4,"4","Celtis",0.00361151918081666
"487",4,"4","Cephalanthus",5.59930175592439e-14
"488",4,"4","Polygonum.delopyrum.type",0.000692528282970819
"489",4,"4","Ericaceae",2.80623843043581e-07
"490",4,"4","Artemisia",0.00362069791110046
"491",4,"4","Liquidambar",0.000946977037866513
"492",4,"4","mimosoid.clade",1.15515173677524e-06
"493",4,"4","Polygonum.fimbriatum.type",2.02505492289805e-08
"494",4,"4","Rhus",8.13720074851403e-05
"495",4,"4","Urticaceae.undiff.",0.000147746053601106
"496",4,"4","Populus",5.52735775778421e-05
"497",4,"4","Chamaecyparis.type",6.51162182068937e-20
"498",4,"4","Apiaceae",2.13944902015568e-06
"499",4,"4","Salix",0.000590666369651699
"500",4,"4","Tilia",0.00019683712245414
"501",4,"4","Chamaecrista.type",0.000522861288024852
"502",4,"4","Paronychia.chartacea",1.77202788679549e-05
"503",4,"4","Urtica.type",5.693247296887e-07
"504",4,"4","Trema",2.82330717426559e-19
"505",4,"4","Acer.rubrum",2.45910803569883e-16
"506",4,"4","Gordonia",7.61201374300243e-07
"507",4,"4","Chamaecrista.fasciculata.type",0.00117289754133197
"508",4,"4","Ranunculaceae.undiff.",6.67697213309441e-06
"509",4,"4","Ilex",4.75416922605758e-08
"510",4,"4","Morus",0.000827625853906931
"511",4,"4","Tillandsia",9.31499731356142e-13
"512",4,"4","Ceratiola.ericoides.type",1.47216997027311e-09
"513",4,"4","Combretaceae.Melastomataceae.undiff.",1.34747482286413e-09
"514",4,"4","Acalypha.type",6.82084600226574e-60
"515",4,"4","cf..Araliaceae",9.87343166674776e-20
