"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"332","4A",993,9.102416571,"8L",52,1131,38910,38418.95,40083.35,41
"333","4A",997,11.13602392,"8L",56,1135,39062.5,38455.95,40348.75,35.5
"334","4A",1001,11.1406578,"8L",60,1139,39205,38516.8,40552.4,37
"335","4A",1005,12.62318841,"8L",64,1143,39332,38574,40785.55,35
"336","4A",1009,10.80528468,"8L",68,1147,39453,38643.95,41049.65,40.5
"337","4A",1013,11.64006604,"8L",72,1151,39592,38718,41291.25,36.5
"338","4A",1017,12.16857934,"8L",76,1155,39706.5,38782.65,41462.3,30
"339","4A",1021,13.89830508,"8L",80,1159,39859.5,38842.6,41710.35,26
"340","4A",1025,8.866412715,"8L",84,1163,39988.5,38911,41929.3,23.5
"341","4A",1029,10.49292983,"8L",88,1167,40128,38996.8,42104.35,24.5
"342","4A",1033,8.249177352,"8L",92,1171,40276.5,39116,42320.85,35.5
"343","4A",1037,9.948773254,"8L",96,1175,40417.5,39201.75,42520.05,33
"344","4A",1041,7.381974249,"9L",0,1179,40547,39279.95,42678.55,31.5
"345","4A",1045,9.936756351,"9L",4,1183,40681,39368.65,43042.15,27.5
"346","4A",1049,10.14224751,"9L",8,1187,40852,39417.9,43334.8,63
"347","4A",1053,10.00404476,"9L",12,1191,41033,39520.9,43481.8,30.5
"348","4A",1057,9.447300771,"9L",16,1195,41160,39595.8,43633.9,35
"349","4A",1061,9.506057782,"9L",20,1199,41296.5,39729.85,43847.05,29
"350","4A",1065,5.791807983,"9L",24,1203,41453,39826.95,44055.1,38
"351","4A",1069,8.726528647,"9L",28,1207,41604,39936.85,44196.8,37
"352","4A",1073,9.09330175,"9L",32,1211,41771.5,40022.75,44379.6,29.5
"353","4A",1077,7.594936709,"9L",36,1215,41943.5,40169.75,44621.2,53
"354","4A",1093,5.153445281,"9L",52,1231,42953,40949.75,45703.75,50.5
"355","4A",1097,2.87435581,"9L",56,1235,43151,41105.6,45836.3,35.5
"356","4A",1101,13.243762,"9L",60,1239,43319.5,41270.3,46007.55,31.5
"357","4A",1105,14.45936139,"9L",64,1243,43504,41436.3,46217.65,55.5
"358","4A",1109,16.75405743,"9L",68,1247,43662,41561.55,46409.1,46.5
"359","4A",1113,15.25867714,"9L",72,1251,43859.5,41641.75,46604.5,49.5
"360","4A",1117,11.55458922,"9L",76,1255,44019.5,41729.85,46748.3,37.5
"361","4A",1121,12.18811703,"9L",80,1259,44210,41912.95,46956,40
"362","4A",1125,9.792412312,"9L",84,1263,44365,42118.8,47093.1,43
