"","core","depth_core","volume","charCount","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate","CHAR"
"97","4A",290,1,45,"1B",99,427,12121,11936.95,12459.1,17.5,2.57142857142857
"98","4A",291,1,69,"1B",100,428,12138.5,11943.95,12486.1,17.5,3.94285714285714
"99","4A",292,1,43,"1B",101,429,12154.5,11950,12499.15,16,2.6875
"100","4A",293,1,45,"1B",102,430,12174.5,11960,12522,20,2.25
"101","4A",294,1,41,"1B",103,431,12193,11965.95,12543.05,18.5,2.21621621621622
"102","4A",295,1,25,"1B",104,432,12210,11971.95,12565.15,17,1.47058823529412
"103","4A",296,1,76,"1B",105,433,12230,11977.95,12583.2,20,3.8
"104","4A",297,1,98,"1B",106,434,12250,11989,12606.05,20,4.9
"105","4A",298,1,75,"1B",107,435,12268.5,11995.9,12623.1,18.5,4.05405405405405
"106","4A",299,1,22,"1B",108,436,12285,12007,12636.05,16.5,1.33333333333333
"107","4A",300,1,75,"1B",109,437,12299.5,12020.95,12648,14.5,5.17241379310345
"108","4A",301,1,76,"1B",110,438,12316,12030.9,12659.05,16.5,4.60606060606061
"109","4A",302,1,45,"1B",111,439,12333.5,12035.95,12677.15,17.5,2.57142857142857
"110","4A",303,1,23,"1B",112,440,12355,12047.9,12694.15,21.5,1.06976744186047
"111","4A",304,1,48,"1B",113,441,12374,12055.95,12706,19,2.52631578947368
"112","4A",305,1,71,"1B",114,442,12390.5,12067,12724.1,16.5,4.3030303030303
"113","4A",306,1,40,"1B",115,443,12410,12077.75,12732.2,19.5,2.05128205128205
"114","4A",307,1,24,"1B",116,444,12425,12091.9,12751.05,15,1.6
"115","4A",309,1,30,"1B",118,446,12459,12121.8,12773.05,18,1.66666666666667
"116","4A",310,1,24,"1B",119,447,12472,12131.9,12784,13,1.84615384615385
"117","4A",311,1,18,"1B",120,448,12492.5,12139.85,12792.05,20.5,0.878048780487805
"118","4A",312,1,31,"1B",121,449,12509.5,12156.9,12803.05,17,1.82352941176471
"119","4A",313,1,26,"1B",122,450,12523,12170.8,12812.05,13.5,1.92592592592593
"120","4A",314,1,16,"1B",123,451,12539,12186.95,12827.15,16,1
